term,anchor_id,letter,story_seed,definition,exam_cue,related,status,include
EAC (Estimate at Completion),gloss-eac,E,"Our EAC jumped after we learned the vendor’s real rates.","Estimate at Completion (EAC) is the projected total cost of the project when it finishes, based on current performance.","Know variants: EAC = BAC/CPI (typical); EAC = AC + (BAC − EV) (atypical future); EAC = AC + Bottom-up ETC; EAC = AC + [(BAC − EV)/(CPI × SPI)] (when schedule also impacts cost).",[[pmp/200-process/240-cost]],draft,Y
Earned Value (EV),gloss-earned-value,E,"We recalculated Earned Value to match actual completed scope.","Earned Value (EV) is the budgeted cost of the work actually completed.","EV ties progress to authorized budget. If EV is inflated, CPI/SPI lie; fix % complete first.",[[pmp/200-process/240-cost]],draft,Y
EVM (Earned Value Management),gloss-evm,E,"We brought EVM to the status meeting to talk facts, not feelings.","Earned Value Management integrates scope, schedule, and cost to measure performance using EV, PV, and AC.","Expect CPI/SPI, CV/SV, EAC/ETC questions. Interpret trends, don’t just compute.",[[pmp/200-process/240-cost]],draft,Y
ETC (Estimate to Complete),gloss-etc,E,"We reset ETC once we saw rework ahead.","Estimate to Complete (ETC) is the forecasted cost needed to finish the remaining work.","ETC = EAC − AC; or rebuild bottom-up if performance will change. Clarify which method the prompt implies.",[[pmp/200-process/240-cost]],draft,Y
Early finish (EF),gloss-early-finish,E,"The network shift moved our early finish for testing by two days.","Early Finish is the earliest date an activity can finish given logic and durations.","Used in forward pass. Don’t confuse EF with actual finish.",[[pmp/200-process/230-schedule]],draft,Y
Early start (ES),gloss-early-start,E,"Adding a lead advanced the early start for integration.","Early Start is the earliest date an activity can begin given predecessors and logic.","Comes from the forward pass. Leads/lags change ES/EF; watch ripple effects.",[[pmp/200-process/230-schedule]],draft,Y
EEF (Enterprise Environmental Factors),gloss-eefs,E,"Local labor laws (an EEF) forced us to adjust overtime plans.","Enterprise Environmental Factors are external/internal conditions that influence the project (laws, culture, market, infrastructure).","You don’t control EEFs; you tailor around them. Distinguish from OPAs (you can update OPAs).",[[pmp/100-business-environment/150-governance]],draft,Y
Expert judgment,gloss-expert-judgment,E,"We pulled in expert judgment where data was thin.","Expert judgment is advice from qualified people or sources to inform decisions.","PMI likes mixing data + experts. Cite credentials/OPAs, avoid pure opinion when evidence exists.",[[pmp/200-process/205-integration]],draft,Y
Escalate (risk response),gloss-escalate,E,"We escalated the licensing risk to the sponsor’s portfolio board.","Escalate means handing a risk/opportunity to a higher authority when it exceeds the project’s scope or authority.","Choose escalate when governance owns the lever (e.g., policy/funding) beyond the PM’s control.",[[pmp/200-process/280-risk]],draft,Y
Exploit (opportunity response),gloss-exploit,E,"We exploited a vendor promo to lock in capacity at half price.","Exploit is making sure an opportunity definitely happens to maximize benefit.","More aggressive than enhance; you commit resources to guarantee upside.",[[pmp/200-process/280-risk]],draft,Y
Enhance (opportunity response),gloss-enhance,E,"We enhanced the uptime gains by adding a second availability zone.","Enhance increases the probability or impact of an opportunity.","Pick enhance when you can tilt odds/impact without fully guaranteeing the outcome.",[[pmp/200-process/280-risk]],draft,Y
External dependency,gloss-external-dependency,E,"An external dependency on the regulator gated our launch date.","An external dependency relies on outside parties or conditions (vendors, regulators, market events).","Plan buffers/agreements. Escalate early when externals slip; treat as risk.",[[pmp/200-process/230-schedule]],draft,Y
Exit criteria,gloss-exit-criteria,E,"We enforced exit criteria at the phase gate to prevent half-done handoffs.","Exit criteria are the conditions that must be met to complete a phase or process step.","Think phase gates/do-not-pass rules. Tie to acceptance and quality measures.",[[pmp/200-process/299-closing]] · [[pmp/200-process/270-quality]],draft,Y
Emotional intelligence (EI),gloss-emotional-intelligence,E,"EI turned a tense review into a productive decision.","Emotional intelligence is the ability to recognize and manage your own and others’ emotions to improve outcomes.","People domain loves EI: active listening, empathy, self-control. Pick options that defuse and align.",[[pmp/300-people/320-lead-team]],draft,Y
Empathy map,gloss-empathy-map,E,"We built an empathy map so we solve the stakeholder’s real pain.","An empathy map visualizes what a user/stakeholder says, thinks, does, and feels to reveal needs.","Use in discovery/requirements. Expect exam to favor understanding before solutioning.",[[pmp/200-process/220-scope]],draft,Y
Estimate Activity Durations (process),gloss-estimate-activity-durations,E,"We estimated activity durations with three-point ranges.","Estimate Activity Durations determines how long activities will take with assigned resources.","Outputs include duration estimates and basis. Pick methods that match data maturity.",[[pmp/200-process/230-schedule]],draft,Y
Estimate Costs (process),gloss-estimate-costs,E,"We estimated costs bottom-up where it mattered and analogous elsewhere.","Estimate Costs develops an approximation of monetary resources needed for project activities.","Outputs include cost estimates and BoE. Accuracy improves over time; avoid false precision early.",[[pmp/200-process/240-cost]],draft,Y
Estimating techniques (overview),gloss-estimating-techniques,E,"We mixed analogous, parametric, and three-point to balance speed and accuracy.","Estimating techniques include analogous (top-down), parametric, bottom-up, and three-point/PERT.","Choose based on data/time. Near-term work deserves detail; far-term can stay coarse.",[[pmp/200-process/230-schedule]] · [[pmp/200-process/240-cost]],draft,Y
Exception report,gloss-exception-report,E,"We issued an exception report when CPI fell outside control limits.","An exception report highlights significant variances that require management attention and action.","Triggers escalation and change decisions. Expect governance context.",[[pmp/200-process/240-cost]] · [[pmp/200-process/250-communications]],draft,Y
Expected Monetary Value (EMV),gloss-emv,E,"We used EMV to compare paths under uncertainty.","Expected Monetary Value combines outcomes and probabilities to compute a weighted financial result.","EMV = Σ(p × payoff). Roll with decision trees; include cost of risk response when relevant.",[[pmp/200-process/280-risk]],draft,Y
Exposure (risk exposure),gloss-risk-exposure,E,"Risk exposure spiked when probability rose even though impact held steady.","Risk exposure reflects the combined effect of probability and impact across risks.","Prioritize by exposure, not by loudest voice. Tie to reserves and response plans.",[[pmp/200-process/280-risk]],draft,Y
Experiment (agile),gloss-experiment,E,"We ran a one-week experiment to test adoption before scaling.","An experiment is a time-boxed test to learn about users, feasibility, or value.","Agile exams favor short, safe-to-learn experiments over big upfront bets.",[[pmp/200-process/210-methods-overview]],draft,Y
Escalation path,gloss-escalation-path,E,"A clear escalation path kept issues from simmering in silence.","An escalation path defines who gets notified and how decisions get made when issues exceed team authority.","Prefer documented, time-bound paths over ad-hoc pings; aligns with governance.",[[pmp/200-process/250-communications]] · [[pmp/100-business-environment/150-governance]],draft,Y
You said:
Facilitation,gloss-facilitation,F,"We used skilled facilitation so every voice shaped the plan.","Facilitation is guiding group work so people collaborate, decide, and commit without one voice dominating.","On people-domain items, prefer facilitation to command-and-control; look for neutrality, structure, and outcomes.",[[pmp/300-people/310-support-performance]],draft,Y
Facilitated workshop,gloss-facilitated-workshop,F,"A facilitated workshop replaced six email chains with one decision.","A facilitated workshop is a structured, time-boxed session to elicit requirements or decisions.","Expect faster alignment and fewer defects. Used in Collect Requirements, risk, and planning.",[[pmp/200-process/220-scope]] · [[pmp/200-process/280-risk]],draft,Y
Failure Mode and Effects Analysis (FMEA),gloss-fmea,F,"FMEA showed where one weak step could sink us.","FMEA identifies failure modes, their effects, and priorities to reduce risk.","Watch RPN (severity × occurrence × detection). PMI likes prevention over detection.",[[pmp/200-process/270-quality]] · [[pmp/200-process/280-risk]],draft,Y
Fast tracking,gloss-fast-tracking,F,"We fast-tracked design and build—and took on extra coordination risk.","Fast tracking overlaps activities to shorten schedule without adding resources.","Use on critical path only; increases rework/quality risk. Compare with crashing.",[[pmp/200-process/230-schedule]],draft,Y
Feasibility study,gloss-feasibility,F,"A quick feasibility study saved us from a pretty slide deck and a bad project.","A feasibility study assesses whether the proposed solution is practical and worth pursuing.","If feasibility fails, expect go/no-go or pivot—don’t force a doomed plan.",[[pmp/100-business-environment/120-strategic-alignment]],draft,Y
Feature,gloss-feature,F,"We sliced value by feature so stakeholders felt progress every sprint.","A feature is a user-facing capability that delivers recognizable value.","Group stories under features; roadmap in features not tasks.",[[pmp/200-process/210-methods-overview]],draft,Y
Feedback loop,gloss-feedback-loop,F,"Short feedback loops turned guesses into evidence.","A feedback loop is a mechanism to gather results quickly and adjust the plan.","Adaptive scenarios favor tighter loops; predictives use phase reviews and pilots.",[[pmp/200-process/210-methods-overview]],draft,Y
Feeding buffer,gloss-feeding-buffer,F,"We added a feeding buffer to protect the chain from upstream wobble.","A feeding buffer is time inserted where non-critical paths feed the critical chain.","Don’t confuse with management reserve; monitor buffer burn, not task padding.",[[pmp/200-process/230-schedule]],draft,Y
Finish-to-Finish (FF),gloss-finish-to-finish,F,"QA couldn’t finish until development finished enough testable slices (FF).","Finish-to-Finish is a dependency where a successor cannot finish until a predecessor finishes.","Know FS/SS/FF/SF logic and how leads/lags shift dates.",[[pmp/200-process/230-schedule]],draft,Y
Finish-to-Start (FS),gloss-finish-to-start,F,"Classic FS logic chained build after design sign-off.","Finish-to-Start is a dependency where a successor cannot start until a predecessor finishes.","Most common relation; consider leads to compress ethically.",[[pmp/200-process/230-schedule]],draft,Y
Float (total),gloss-float-total,F,"Total float told us which path could slip without moving the date.","Total float is how long an activity can move without delaying the project finish.","Zero on the critical path. Changes ripple; recalc after approvals.",[[pmp/200-process/230-schedule]],draft,Y
Float (free),gloss-float-free,F,"Free float let us shift this task without touching successors.","Free float is how long an activity can move without delaying its immediate successor.","Useful for local optimization; not the same as total float.",[[pmp/200-process/230-schedule]],draft,Y
Flow efficiency,gloss-flow-efficiency,F,"Flow efficiency exposed that most time was waiting, not working.","Flow efficiency is the ratio of active work time to total elapsed time.","Low efficiency → limit WIP, remove blockers, smooth handoffs.",[[pmp/200-process/210-methods-overview]],draft,Y
Flow metrics,gloss-flow-metrics,F,"We tracked cycle time, WIP, and throughput to manage flow, not feelings.","Flow metrics quantify how work moves (e.g., cycle time, WIP, throughput, aging).","Agile/lean lens: manage the system, not individuals; visualize trends (CFD).",[[pmp/200-process/210-methods-overview]],draft,Y
Forecast,gloss-forecast,F,"Our forecast changed when real velocity beat the plan.","A forecast is a forward-looking estimate of cost, schedule, or scope based on current performance.","Tie to EVM (EAC/ETC) or empirical velocity; avoid status-quo bias.",[[pmp/200-process/240-cost]] · [[pmp/200-process/230-schedule]],draft,Y
Forward pass,gloss-forward-pass,F,"A forward pass set our early dates before we worried about float.","The forward pass calculates Early Start and Early Finish through the network.","Pair with backward pass for float. Don’t mix ES/EF with actuals.",[[pmp/200-process/230-schedule]],draft,Y
Framework (vs methodology),gloss-framework,F,"We adopted a framework and tailored it—no one-size-fits-all playbook.","A framework provides principles and structures; a methodology prescribes specific processes/tools.","On tailoring items, pick adapt-over-adopt blindly. Cite EEFs/OPAs.",[[pmp/100-business-environment/150-governance]],draft,Y
Free slack (synonym: free float),gloss-free-slack,F,"Free slack bought us breathing room between two tightly coupled tasks.","Free slack is another term for free float—the wiggle room before a successor is delayed.","Expect synonym traps; definitions match.",[[pmp/200-process/230-schedule]],draft,Y
Functional manager,gloss-functional-manager,F,"The functional manager controlled staffing; we negotiated for scarce skills.","A functional manager leads a department and controls people and expertise within that function.","Matrix questions hinge on who owns what—PM negotiates, doesn’t command.",[[pmp/300-people/330-develop-team]],draft,Y
Functional organization,gloss-functional-organization,F,"In a functional org, projects bend around departments, not the other way.","A functional organization groups people by specialty; project authority is low for PMs.","Expect slow decisions and resource conflicts; escalate via governance.",[[pmp/100-business-environment/150-governance]],draft,Y
Funding limit reconciliation,gloss-funding-limit,F,"Funding limits forced us to stage work and shift cash flow.","Funding limit reconciliation aligns planned spending with available funding over time.","Use to adjust schedule and spending curves; may create phase gates.",[[pmp/200-process/240-cost]],draft,Y
Force field analysis,gloss-force-field,F,"Force field analysis showed more restraining than driving forces—so we shrunk the change.","Force field analysis weighs forces that help or hinder a change to plan targeted actions.","Tie to change management; reduce resistors, amplify drivers.",[[pmp/100-business-environment/140-culture-and-change]],draft,Y
Fragnet (network fragment),gloss-fragnet,F,"We modelled the vendor handoff as a fragnet to simplify replanning.","A fragnet is a subsection of a network diagram representing a repeatable sequence of activities.","Useful for inserts/what-if without redrawing the full network.",[[pmp/200-process/230-schedule]],draft,Y
Want me to flip these straight into your collapsible F page next (using story_seed as the ## line above each ### {term} and alphabetizing by ###)?

